        lo        
 KB/s in  KB/s out
    2.89      2.89
    3.20      3.20
    2.83      2.83
    2.80      2.80
    2.82      2.82
    2.96      2.96
    3.26      3.26
    2.93      2.93
    2.90      2.90
    2.92      2.92
    3.16      3.16
28580.22  28580.22
46012.78  46012.78
45084.74  45084.74
47070.43  47070.43
46161.60  46161.60
145141.8  145141.8
150456.2  150456.2
160507.3  160507.3
168937.5  168937.5
171757.4  171757.4
174687.9  174687.9
        lo        
 KB/s in  KB/s out
176818.1  176818.1
176729.9  176729.9
114945.6  114945.6
    3.37      3.37
    3.67      3.67
   28.18     28.18
   13.40     13.40
    6.97      6.97
    9.82      9.82
   13.08     13.08
    6.92      6.92
    6.64      6.64
    6.66      6.66
    6.91      6.91
    6.92      6.92
    6.81      6.81
    6.83      6.83
